,paragraph
0,About this report This document includes an updated Part B Methodology from the June 2019 report and an updated Part F Full list of technical screening criteria The other original sections from the June 2019 report can be found as labelled in the June 2019 report PART A
1,Explanation of the Taxonomy approach This section sets out the role and importance of sustainable finance in Europe from a policy and investment perspective the rationale for the development of an EU Taxonomy the daft regulation and the mandate of the TEG
2,Methodology This explains the methodologies for developing technical screening criteria for climate change mitigation objectives adaptation objectives and do no significant harm to other environmental objectives in the legislative proposal This has been updated since 2019
3,Full list of technical screening criteria This annex sets out the sector and economic activityspecific technical screening criteria and rationale for the TEGs analysis These have been updated since 2019
4,Disclaimer This report represents the overall view of the members of the Technical Expert Group and although it represents such a consensus it may not necessarily on all details represent the individual views of member institutions or experts The views reflected in this Report are the views of the experts only This report does not reflect the views of the European Commission or its services
5,Conservation forest  85 Agriculture  102
6,Datadriven solutions for GHG emission reductions  365 Construction and real estate activities  367
7,Nonlife insurance  574 Professional scientific and technical activities  578
8,91 Engineering activities and related technical consultancy dedicated to adaptation to climate change  578
9,Research and development natural sciences and engineering  582 Information and communication  584
10,In the June 2019 report the TEG explained the process used to assess and select economic activities for inclusion in the Taxonomy Shown in Figure 1 The Taxonomy Regulation has not materially changed the TEGs thinking on methodology for selecting sectors Further the TR takes up the TEGs recommended approach to identify enabling activities as a type of activity
11,Identifying priorities within the potential universe of economic activities The universe of economic activities is described using NACE codes NACE codes cover 21 broad sectors with four levels of subcodes At the fourth level 615 classes of economic activity are identified
12,Not all of these sectors or economic activities have high emissions 1 Some sectors may have insubstantial emissions Others can enable emitting activities to transition to a low carbon economy The TEG also recognises that some important activities are not captured by the NACE codes For example urban and regional planning for low carbon development including avoided journeys support for lower carbon personal choices such as vegetarian diets and investments to maintain public natural capital such as natural forests and wetlands Further work is needed to include these in the Taxonomy in future The first group of sectors included by the TEG were those with high climate change mitigation need and potential on the basis of scope 1 emissions data2 In addition the TEG considered aspects of B  Mining and Quarrying to the extent these supported activities in C  Manufacturing However a full evaluation of the mining and quarrying sector was not undertaken TEG initially used Eurostat emissions inventory data from 2016 More recent emissions data is now available however this does not change the findings of the TEG as the sector profile of Europes emissions was broadly the same in 2016 and 2018 In addition the TEG recognised that failure to address the carbon performance of buildings which alone contribute 36 of CO2e emissions in the EU283 would risk causing harm to climate objectives Buildings are not a single economic activity under the NACE system The TEGs buildings criteria are designed to be crosscutting and apply across the economy with the exception of explicitly excluded sectors dedicated storage of fossil fuels For presentation purposes the TEG has aligned the building criteria with NACE codes for construction and real estate activities However the buildings criteria are not limited to these NACE codes and can be applied across other sectors and economic activities The TEG also considered sectors that could enable a substantial contribution in one of the other selected sectors J  Information and Communication and M  Professional Scientific Technical activities and due to their potential to be enabling activities See Table X for a description of enabling activities The selected macrosectors represent a minimum of 935 of NACEbased scope 1 emissions in the EU based on 2018 data although this figure is likely to be an underestimate as it does not consider buildings emissions in all sectors
13,1 Although they may have substantial impacts on other environmental objectives TEGs analysis is based on Scope 1 emissions data as Scope 2 and 3 data by NACE code was not available However the Taxonomy recognises energy efficiency improvements consistent with the requirements of the Taxonomy Regulation 2
14,3 See httpseceuropaeuenergyentopicsenergyefficiencybuildings Note that emissions from buildings are considered across NACE codes Emissions from domestic buildings are typically excluded from NACE codes as domestic occupation is not considered an economic activity Nonetheless activities to reduce emissions from the residential sector should be considered in the Taxonomy
15,Where economic activities have the potential to enable substantial GHG emissions reductions in other sectors these should also be included assuming the life cycle emissions of the activity do not undermine mitigation objectives
16,The TEG has identified priority activities within each sector The name of each macrosector is drawn directly from the NACE classification system and may refer to activities that were not covered eg the TEG has developed technical screening criteria for agriculture and forestry but not fishing Key Colour code
17,This sector was selected because of its emissions profile The TEG has identified some important economic activities likely to substantially contribute to climate change mitigation in this sector but further analysis should be undertaken
18,This sector was selected because it may be able to enable substantive emissions reductions in other sectors The TEG has identified the main economic activities likely to substantially contribute to climate change mitigation in this sector
19,This sector was selected because it may be able to enable substantive emissions reductions in other sectors The TEG has identified some important economic activities likely to substantially contribute to climate change mitigation in this sector but further analysis should be undertaken
20,4 For presentation purposes the TEG has aligned the building criteria with NACE codes for construction and real estate activities However the buildings criteria are not limited to these NACE codes and can be applied across other sectors and economic activities 5 TEGs methodology was based on Scope 1 emissions but we recognise that Information and Communication activities may also have substantial Scope 2 emissions This is reflected in the technical screening criteria for Information and Communications 6 See note on construction
21,Developing criteria For each of the activities selected technical screening criteria have been developed The format of the technical screening criteria has been updated since the June 2019 report to incorporate
22,a Principles The underlying rationale for how the activity will result in a substantial contribution andor avoidance of significant harm to the environmental objective in question b Criteria including both metrics and thresholds The methods by which the environmental performance of the economic activity will be measured including defining the boundary for this measurement and the qualitative or quantitative conditions which must be met to enable the performance of the activity in a way that is considered environmentally sustainable
